"","Net_score_grid","Area","Birth_rate","Death_rate","extrate"
"1",-247.9545455,7509.395833,2.233333333,4.033333333,1.00000096670827
"2",223.3214286,5850.888889,3.633333333,0.222222222,1.00000261061974
"3",55.99999999,3214.537037,3.558333333,0.083333333,1.00001930404619
"4",66.41666666,7860.572727,3.266666667,0.222222222,1.00000583145311
"5",245.2166667,4355.328656,3.441666667,3.055555556,1.00000036152754
"6",205.3,80702.94793,3.408333333,3.027777778,1.00000002296887
"7",-681.7333333,3495.844203,3.22,0.5,0.999998858693462
"8",-1078.5,8839.878789,3.975,1.3,0.999999719419602
"9",52.79999995,5583.237284,3.8125,4.5,0.999997667870326
"10",-307.2333333,3549.719697,4.733333333,2.133333333,0.999997615974179
"11",45.84828432,5986.769995,4.316666667,3.166666667,1.00000418969278
"12",-777,3701.186508,5.05,2.555,0.99999913242194
"13",-882.3416667,11094.98593,2.972222222,2.166666667,0.999999917712863
"14",289,3200.513889,4.025,1.041666667,1.00000322540475
"15",203,4241.251452,4.525,0.75,1.00000438456888
"16",205.9,2656.477381,4.269444444,0.166666667,1.00000750093713
"17",266.75,2944.343334,2.861111111,0.423076923,1.00000310418011
"18",223.9,18274.71119,4.3,2.777777778,1.00000037202613
"19",219.8076923,24345.57209,2.991666667,1.194444444,1.00000033584502
"20",-690.0972223,2806.952991,5.705555556,0.433333333,0.999997278249643
"21",98.65151516,12083.63889,4.366666667,1.208333333,1.0000026494545
"22",-27.84166667,9028.75,4.533333333,4.777777778,1.00000097242769
"23",274.75,3606.052546,4.48,6.888888889,0.999997568652602
"24",-17.8939395,4502.725,6.333333333,6.916666667,1.00000723994732
"25",-366.4999999,7120.48,4.925,3.455555556,0.999999436920234
"26",-715.7150538,4165.378893,6.241666667,5.083333333,0.999999611457178
"27",186,34788.19444,3.966666667,6.833333333,0.999999556970788
"28",278.7083333,13879.03333,3.663461538,16.16666667,0.99999676769612
"29",214.3333333,80702.94793,5.516666667,2.5,1.00000017440069
"30",10.29411764,3495.844203,3.302777778,22.16666667,0.999475808428912
"31",220.8,8839.878789,4.503333333,1.111111111,1.00000173795655
"32",238.5666667,5583.237284,4.8875,3.333333333,1.0000011668143
"33",265.0666667,3549.719697,4.097222222,5.166666667,0.999998863396336
"34",287.5,5986.769995,3.622222222,3.333333333,1.00000016784191
"35",221.0652174,3701.186508,5.491666667,2.666666667,1.00000345268586
"36",236.0909091,11094.98593,8.35,3.5,1.00000185155117
"37",313,3200.513889,4.983333333,2.833333333,1.00000214622083
"38",-9.710526305,4241.251452,5.413333333,4.833333333,0.999985917128934
"39",-269,18274.71119,3.403448276,10.3030303,1.00000140352444
"40",262.6666667,24345.57209,2.733333333,5,0.999999645543691
"41",287,2806.952991,2.77,3.166666667,0.999999507610627
"42",220,12083.63889,1.6,7.291666667,0.99999785898831
"43",222.5,9028.75,7.333333333,0,1.00000365042797
"44",251.5,3606.052546,4.49,3.333333333,1.00000127537582
"45",-342,4502.725,3.54,3.508333333,0.999999979436321
"46",60.45,7120.48,3.743333333,1,1.00000637342683
"47",37.70000001,4165.378893,4.61,1.666666667,1.0000187431934
"48",22.21666668,34788.19444,4.477083333,10.58333333,0.999992099332356
"49",286.95,13879.03333,4.94375,9.777777778,0.999998786209612
"50",-633.8854167,4355.328656,4.883333333,6.083333333,1.00000043465988
"51",-172.5092593,80702.94793,3.788888889,3.786306043,0.999999999814477
"52",219.5,3495.844203,4.047222222,14.82638889,0.999985952514483
"53",346.3645834,8839.878789,3.37,1.25,1.00000069239843
"54",284.5104167,5583.237284,3.7,2.716666667,1.00000061903685
"55",263.8833333,3549.719697,3.623333333,16.08333333,0.999986698150786
"56",298.6111111,5986.769995,3.296666667,4.75,0.999999187044642
"57",313.4623016,3701.186508,2.16,4.722222222,0.999997791535081
"58",-116.1500001,11094.98593,1.63,4.958333333,1.00000258274092
"59",31.83333334,3200.513889,2.605,0.083333333,1.00002475060644
"60",-204.2166665,4241.251452,1.58,1.979166667,1.00000046086005
"61",-82.68333346,2656.477381,6,5.416666667,0.999997344216343
"62",154.1333333,2944.343334,5,0.16064257,1.00001066357133
"63",101.2333333,18274.71119,4.116666667,1.388888889,1.00000147446656
"64",268,24345.57209,5.233333333,7.666666667,0.99999962705325
